System               | Instance             | Version    | Date       | Server    
oqtr                 | OQTR_01p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_01s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_02p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_02s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_03p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_03s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_04p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_04s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_51p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_51s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_52p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
oqtr                 | OQTR_52s             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | DR        
precise_ports        | precise_ports_01_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_01_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_02_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_02_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_03_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_03_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_04_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_04_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_05_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_05_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_06_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_06_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_07_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_07_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_08_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_08_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_09_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_09_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_10_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_10_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_11_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_11_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_12_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_12_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_13_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_13_s   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
precise_ports        | precise_ports_14_p   | 8.0.2.0    | 2014-01-29 | PD-SD02    | ISEapps    | DR        
