System               | Instance             | Version    | Date       | Server    
rtp_pim              | PluginManager_02     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_03     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_04     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_05     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.8.53.0   | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.8.53.0   | 2014-01-29 | PD-PIM01C  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-29 | PD-PIM01D  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_02     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_03     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_04     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_05     | 2.8.3.0    | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.8.53.0   | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.8.53.0   | 2014-01-29 | PD-PIM01G  | ISEapps    | BAT       
precise_userreport   | PreciseTradeUserReport | 7.0.0.0    | 2014-01-29 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_03     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_04     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-30 | PD-PIM01H  | ISEapps    | BAT       
precise_salesdeskohr | SalesDesk_OHR        | 8.0.2.0    | 2014-01-29 | PD-PIM01H  | ISEapps    | BAT       
oqtr                 | OQTR_01p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_01s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_02p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_02s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_03p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_03s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_04p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_04s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_51p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_51s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_52p             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_52s             | 6.0.0.5    | 2014-01-29 | PD-QTR01   | ISEapps    | BAT       
oqtr                 | OQTR_01p             | 6.0.0.5    | 2014-01-29 | PD-QTR02   | ISEapps    | BAT       
